iter	Passed	Remaining
0	65	65294
1	69	34677
2	83	27722
3	84	21005
4	92	18454
5	95	15783
6	96	13647
7	108	13451
8	109	12047
9	110	10902
10	112	10082
11	117	9656
12	118	8982
13	134	9456
14	135	8875
15	135	8356
16	136	7910
17	137	7506
18	146	7570
19	147	7240
20	149	6983
21	150	6692
22	151	6427
23	175	7140
24	176	6875
25	177	6632
26	177	6401
27	178	6190
28	179	5993
29	179	5813
30	180	5640
31	181	5480
32	182	5342
33	183	5204
34	184	5074
35	185	4956
36	185	4838
37	187	4745
38	188	4637
39	188	4531
40	189	4432
41	190	4339
42	192	4275
43	195	4255
44	196	4175
45	197	4098
46	198	4020
47	199	3950
48	215	4175
49	216	4105
50	216	4033
51	217	3964
52	220	3931
53	222	3891
54	223	3835
55	225	3803
56	226	3754
57	228	3707
58	230	3670
59	231	3622
60	232	3573
61	232	3523
62	233	3474
63	234	3432
64	235	3393
65	236	3350
66	238	3315
67	239	3275
68	239	3234
69	240	3198
70	241	3161
71	243	3139
72	244	3108
73	246	3084
74	256	3159
75	257	3127
76	258	3096
77	258	3060
78	272	3173
79	274	3154
80	278	3154
81	281	3151
82	281	3114
83	282	3081
84	284	3059
85	285	3032
86	287	3017
87	288	2989
88	289	2960
89	289	2931
90	297	2976
91	299	2951
92	300	2934
93	301	2907
94	302	2882
95	303	2857
96	306	2855
97	308	2835
98	310	2826
99	312	2814
100	313	2789
101	314	2767
102	315	2745
103	316	2725
104	317	2704
105	318	2682
106	318	2659
107	319	2636
108	319	2614
109	322	2606
110	324	2595
111	326	2587
112	329	2587
113	335	2609
114	336	2590
115	348	2658
116	349	2639
117	352	2631
118	353	2617
119	354	2599
120	355	2581
121	356	2562
122	357	2545
123	358	2529
124	360	2526
125	363	2522
126	365	2512
127	367	2502
128	374	2531
129	381	2555
130	382	2540
131	385	2533
132	387	2529
133	390	2520
134	392	2513
135	394	2509
136	396	2498
137	397	2483
138	404	2503
139	407	2505
140	408	2490
141	409	2473
142	411	2465
143	414	2463
144	415	2451
145	438	2565
146	439	2550
147	440	2535
148	441	2520
149	443	2515
150	444	2501
151	445	2487
152	454	2518
153	455	2502
154	458	2500
155	459	2486
156	463	2487
157	463	2472
158	465	2463
159	468	2458
160	470	2449
161	476	2462
162	478	2456
163	479	2445
164	481	2436
165	487	2446
166	488	2434
167	490	2427
168	491	2416
169	494	2415
170	495	2401
171	496	2389
172	497	2377
173	498	2366
174	501	2366
175	503	2358
176	505	2350
177	516	2384
178	517	2373
179	518	2362
180	519	2349
181	520	2340
182	521	2328
183	522	2318
184	524	2309
185	524	2297
186	525	2286
187	526	2275
188	528	2266
189	529	2255
190	530	2245
191	531	2234
192	532	2226
193	533	2215
194	534	2205
195	535	2196
196	536	2185
197	537	2176
198	545	2194
199	546	2184
200	546	2173
201	547	2164
202	549	2158
203	551	2151
204	554	2149
205	555	2142
206	556	2133
207	557	2123
208	558	2114
209	559	2104
210	570	2133
211	571	2125
212	572	2115
213	574	2109
214	575	2102
215	576	2093
216	578	2086
217	580	2082
218	587	2095
219	589	2088
220	590	2081
221	591	2072
222	592	2063
223	592	2053
224	593	2045
225	595	2038
226	596	2029
227	596	2020
228	597	2011
229	598	2002
230	598	1993
231	599	1985
232	602	1983
233	603	1975
234	604	1966
235	605	1958
236	605	1950
237	606	1942
238	607	1934
239	608	1925
240	608	1917
241	610	1913
242	611	1906
243	612	1897
244	613	1891
245	615	1886
246	616	1880
247	618	1874
248	619	1868
249	620	1860
250	620	1852
251	622	1846
252	623	1841
253	626	1840
254	627	1833
255	629	1830
256	651	1882
257	654	1881
258	654	1873
259	667	1898
260	667	1890
261	668	1883
262	669	1875
263	669	1867
264	678	1882
265	679	1874
266	680	1867
267	681	1862
268	684	1861
269	736	1990
270	739	1988
271	744	1991
272	745	1984
273	763	2022
274	764	2014
275	765	2008
276	768	2004
277	776	2017
278	778	2012
279	779	2004
280	780	1997
281	793	2020
282	794	2012
283	796	2008
284	805	2020
285	806	2012
286	812	2017
287	812	2009
288	827	2036
289	829	2030
290	832	2027
291	833	2020
292	843	2034
293	844	2027
294	844	2019
295	846	2013
296	854	2023
297	857	2019
298	858	2012
299	859	2005
300	860	1998
301	870	2012
302	873	2009
303	878	2010
304	879	2003
305	879	1995
306	890	2010
307	891	2003
308	895	2003
309	896	1996
310	897	1989
311	899	1983
312	900	1976
313	908	1985
314	909	1978
315	910	1971
316	919	1981
317	920	1974
318	921	1967
319	922	1960
320	923	1953
321	924	1946
322	925	1939
323	926	1932
324	931	1933
325	932	1927
326	933	1920
327	943	1933
328	944	1926
329	946	1920
330	946	1913
331	947	1906
332	948	1899
333	949	1893
334	956	1898
335	958	1894
336	959	1888
337	961	1883
338	964	1881
339	990	1922
340	992	1917
341	995	1915
342	1011	1936
343	1012	1930
344	1013	1924
345	1028	1944
346	1029	1937
347	1030	1930
348	1031	1923
349	1050	1950
350	1061	1963
351	1062	1956
352	1064	1950
353	1065	1943
354	1065	1936
355	1067	1930
356	1069	1925
357	1070	1919
358	1071	1912
359	1071	1905
360	1072	1899
361	1073	1892
362	1074	1885
363	1075	1878
364	1076	1872
365	1077	1866
366	1078	1859
367	1078	1853
368	1080	1847
369	1081	1841
370	1083	1836
371	1087	1836
372	1089	1832
373	1090	1825
374	1091	1819
375	1092	1813
376	1093	1806
377	1094	1800
378	1097	1797
379	1106	1805
380	1107	1798
381	1107	1792
382	1108	1786
383	1109	1779
384	1110	1773
385	1110	1766
386	1117	1770
387	1118	1763
388	1119	1759
389	1120	1752
390	1121	1746
391	1121	1739
392	1122	1733
393	1123	1727
394	1131	1733
395	1132	1727
396	1133	1721
397	1134	1716
398	1135	1710
399	1136	1704
400	1150	1718
401	1150	1712
402	1152	1706
403	1153	1701
404	1154	1695
405	1154	1689
406	1155	1683
407	1156	1677
408	1156	1671
409	1157	1665
410	1158	1659
411	1158	1653
412	1160	1649
413	1162	1644
414	1163	1640
415	1165	1636
416	1168	1633
417	1170	1629
418	1172	1625
419	1173	1619
420	1174	1614
421	1176	1610
422	1181	1611
423	1183	1608
424	1185	1603
425	1187	1599
426	1200	1610
427	1200	1604
428	1230	1637
429	1231	1632
430	1232	1627
431	1234	1622
432	1236	1618
433	1238	1614
434	1243	1615
435	1244	1610
436	1245	1604
437	1245	1598
438	1246	1593
439	1247	1587
440	1247	1581
441	1248	1576
442	1249	1570
443	1249	1565
444	1250	1559
445	1251	1554
446	1269	1570
447	1270	1565
448	1270	1559
